Function name	Segment	Start	Length	Locals	Arguments	R	F	L	M	O	S	B	T	=	X
??$_Push_heap@PAUGfxStaticModelSortModel@@HU1@P6A_NABU1@0@Z@std@@YAXPAUGfxStaticModelSortModel@@HH$$QAU1@P6A_NABU1@2@Z@Z_SEH	.text	00B455DC	0000001B	00000000	00000008	R	.	.	.	.	.	.	.	.	.
?Material_LoadTechniqueSet@@YAPAUMaterialTechniqueSet@@PBD@Z_SEH	.text	00B47448	0000001B	00000000	00000008	R	.	.	.	.	.	.	.	.	.
?R_AddCmdDrawQuadList2DInternal@@YAPAUGfxQuadVertex@@PAUMaterial@@H@Z_SEH	.text	00B4494B	00000028	00000000	00000008	R	.	.	.	.	.	.	.	.	.
?R_AddCmdDrawStretchPicInternal@@YAXMMMMMMMMABTvec4_t@@PAUMaterial@@@Z_SEH	.text	00B447A3	0000001B	00000000	00000008	R	.	.	.	.	.	.	.	.	.
?R_Cinematic_HandleFinishedCallbacks@@YAXW4CIN_CALLBACK_TYPE@@@Z_SEH	.text	00B44BAC	0000001B	00000000	00000008	R	.	.	.	.	.	.	.	.	.
?R_InitTempSkinBuf@@YAXI@Z_SEH	.text	00B446FB	00000028	00000000	00000008	R	.	.	.	.	.	.	.	.	.
?R_Resolve@@YAXUGfxCmdBufContext@@PAUGfxImage@@@Z_SEH	.text	00B476AB	0000001B	00000000	00000008	R	.	.	.	.	.	.	.	.	.
?R_UpdateNonSpriteEffects@@YAXPAUFxCmd@@@Z_SEH	.text	00B45E14	0000001B	00000000	00000008	R	.	.	.	.	.	.	.	.	.
AIPhys_AddTouchEnt(actor_physics_t *,int)	.text	00886D60	0000003B	00000000	00000024	R	.	.	.	.	.	.	T	.	.
AIPhys_AirMove	.text	00889510	0000013E	00000038	00000010	R	.	.	.	.	.	.	T	.	.
AIPhys_ClipVelocity	.text	00886DA0	000000EB	00000018	0000002C	R	.	.	.	.	.	.	T	.	.
AIPhys_FoliageSounds(actor_physics_t *)	.text	008877A0	00000266	00000094	0000004C	R	.	.	.	.	.	.	T	.	.
AIPhys_Footsteps	.text	00886ED0	00000110	00000004	00000024	R	.	.	.	.	.	.	T	.	.
AIPhys_GroundTrace	.text	008872E0	000004BE	00000070	00000024	R	.	.	.	.	.	.	T	.	.
AIPhys_SlideMove	.text	00887A40	000010EB	000010A8	00000018	R	.	.	.	.	.	.	T	.	.
AIPhys_StepSlideMove	.text	00889050	000004B4	00000C40	00000008	R	.	.	.	.	.	.	T	.	.
AIPhys_WalkMove	.text	00889650	0000004C	00000008		R	.	.	.	.	.	.	T	.	.
Abs(phys_vec3 const &)	.text	007CCD20	00000020	00000000	00000008	R	.	.	.	.	.	.	T	.	.
ActionSlotIsActive	.text	00419A40	00000161	00000044	0000000C	R	.	.	.	.	.	.	T	.	.
ActionSlotUsageAllowed(cg_t const *)	.text	004E4540	0000000F	00000048	00000008	R	.	.	.	.	.	.	T	.	.
Activate_trigger_damage(gentity_t *,gentity_t *,int,int)	.text	00640910	00000082	00000000	00000014	R	.	.	.	.	.	.	T	.	.
ActorCmd_AllowPitchAngle(scr_entref_t)	.text	0088D140	00000004	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_AllowedStances	.text	0088AC80	0000010F	00000000	0000080D	R	.	.	.	.	.	.	T	.	.
ActorCmd_AnimMode	.text	0088AF20	000001B7	00000000	00000010	R	.	.	.	.	.	.	T	.	.
ActorCmd_AtDangerousNode	.text	0088CA80	00000077	00000000	00000018	R	.	.	.	.	.	.	T	.	.
ActorCmd_CalcLookaheadPos	.text	0088D2E0	000001E0	0000005C	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_CanSee	.text	0088A470	000000C0	00000004	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_CheckProne	.text	0088C0D0	000000C0	00000018	00000014	R	.	.	.	.	.	.	T	.	.
ActorCmd_ClearEnemy	.text	0088CB40	00000100	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_ClearEntityOwner	.text	0088E650	00000060	00000000	00000035	R	.	.	.	.	.	.	T	.	.
ActorCmd_ClearEntityTarget	.text	0088CD70	0000009E	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_ClearFixedNodeSafeVolume	.text	0088C840	00000030	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_ClearGoalVolume	.text	0088C760	00000001	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_ClearMoveHistory	.text	0088B6C0	00000038	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_ClearOverrideRunToPos	.text	0088C9A0	0000003A	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_ClearPitchOrient	.text	0088A270	0000002F	00000000	00000071	R	.	.	.	.	.	.	T	.	.
ActorCmd_ClearPotentialThreat	.text	0088CE60	00000036	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_FindReacquireDirectPath	.text	0088A110	00000044	0000007C	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_FindReacquireNode	.text	0088A060	00000018	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_FindReacquireProximatePath	.text	0088A160	00000041	00000000	0000004D	R	.	.	.	.	.	.	T	.	.
ActorCmd_FlagEnemyUnattackable	.text	0088A250	0000001A	00000000	00000044	R	.	.	.	.	.	.	T	.	.
ActorCmd_ForceTeleport	.text	0088AA20	000001C0	00001000	00000CED	R	.	.	.	.	.	.	T	.	.
ActorCmd_GetAnglesToLikelyEnemyPath	.text	0088B850	00000036	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_GetAnimFromASD	.text	0088D970	00000197	00000010	00000020	R	.	.	.	.	.	.	T	.	.
ActorCmd_GetAnimHasNotetrackFromASD	.text	0088DCB0	000001B0	0000000C	00000024	R	.	.	.	.	.	.	T	.	.
ActorCmd_GetAnimLengthFromASD	.text	0088DB10	00000191	00000018	00000020	R	.	.	.	.	.	.	T	.	.
ActorCmd_GetAnimStateFromASD	.text	0088D700	00000029	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_GetAnimSubStateCountFromASD	.text	0088D8F0	0000007C	00000000	0000002C	R	.	.	.	.	.	.	T	.	.
ActorCmd_GetAnimSubStateFromASD	.text	0088D730	000001C0	00000018	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_GetDeltaTurnYaw	.text	0088D190	00000060	00000000	0000E800	R	.	.	.	.	.	.	T	.	.
ActorCmd_GetEnemyInfo	.text	0088CB00	00000039	00000000	00000039	R	.	.	.	.	.	.	T	.	.
ActorCmd_GetFixedNodeSafeVolume	.text	0088C7D0	00000070	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_GetFlashBangedStrength	.text	0088CFB0	0000002A	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_GetGoalVolume	.text	0088C730	00000028	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_GetGroundEntType	.text	0088BC30	0000006F	00000004	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_GetHitEntType	.text	0088BB20	00000007	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_GetHitYaw	.text	0088BB90	000000A0	00000010	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_GetMotionAngle	.text	0088B4C0	000001A8	00000004	00000024	R	.	.	.	.	.	.	T	.	.
ActorCmd_GetMoveHistoryAverage	.text	0088B700	00000150	00000010	00000054	R	.	.	.	.	.	.	T	.	.
ActorCmd_GetOrientMode	.text	0088B340	00000180	00000010	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_GetPerfectInfo	.text	0088CEA0	00000070	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_GetReacquireNode	.text	0088A080	0000002C	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_HasAnimStateFromASD	.text	0088D6C0	0000003D	00000000	00000014	R	.	.	.	.	.	.	T	.	.
ActorCmd_IsDeflected	.text	0088BCA0	00000027	00000000	00000014	R	.	.	.	.	.	.	T	.	.
ActorCmd_IsInGoal	.text	0088C870	0000005D	00000010	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_IsInScriptedState	.text	0088D4C0	0000002A	00000004	00000008	R	.	.	.	.	.	B	T	.	.
ActorCmd_IsKnownEnemyInRadius	.text	0088CFE0	0000006F	00000010	00000024	R	.	.	.	.	.	.	T	.	.
ActorCmd_IsKnownEnemyInVolume	.text	0088D050	00000055	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_IsStanceAllowed	.text	0088AD50	000000F6	00000028	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_Knockback	.text	0088AE50	00000048	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_LastKnownPos	.text	0088A6A0	0000007F	00000010	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_LastKnownTime	.text	0088A5F0	000000A8	00000000	00000414	R	.	.	.	.	.	.	T	.	.
ActorCmd_LerpPosition	.text	0088B890	00000189	0000001C	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_MayMoveFromPointToPoint	.text	0088E480	000001C7	00000028	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_MayMoveToPoint	.text	0088E290	000001C0	00000000	00000050	R	.	.	.	.	.	.	T	.	.
ActorCmd_Melee	.text	00889F40	0000007F	00000010	00000030	R	.	.	.	.	.	.	T	.	.
ActorCmd_MeleeWithOffset	.text	00889FC0	00000050	0000001C	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_NearClaimNode	.text	0088CA20	00000027	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_NearClaimNodeAndAngle	.text	0088CA50	00000026	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_NearNode	.text	0088C9E0	00000040	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_OrientMode	.text	0088B0E0	0000025E	0000001C	00000030	R	.	.	.	.	.	.	T	.	.
ActorCmd_PopAIState	.text	0088D280	0000001C	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_PredictAnim	.text	0088BB00	00000008	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_PredictOriginAndAngles	.text	0088BA20	0000001C	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_PushPlayer	.text	0088C190	0000003F	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_ReacquireMove	.text	0088A200	00000047	00000000	0000004D	R	.	.	.	.	.	.	T	.	.
ActorCmd_SeeRecently	.text	0088A530	000000B6	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_SetAnimState	.text	0088D1F0	00000060	00000000	00000050	R	.	.	.	.	.	.	T	.	.
ActorCmd_SetAnimStateFromASD	.text	0088D4F0	000001CE	0000000C	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_SetEntityOwner	.text	0088E6B0	000000C0	00000000	0000002D	R	.	.	.	.	.	.	T	.	.
ActorCmd_SetEntityTarget	.text	0088CC40	00000130	00000004	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_SetFlashBanged	.text	0088CF10	00000066	00000004	00000024	R	.	.	.	.	.	.	T	.	.
ActorCmd_SetFlashbangImmunity	.text	0088CF80	00000028	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_SetFreeCameraLockOnAllowed	.text	0088DE60	0000002C	00000000	00000010	R	.	.	.	.	.	.	T	.	.
ActorCmd_SetGoalEntity	.text	0088C450	00000030	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_SetGoalNode	.text	0088C2A0	000000AC	00000010	00000014	R	.	.	.	.	.	.	T	.	.
ActorCmd_SetGoalPos	.text	0088C3D0	0000007E	0000001C	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_SetGoalVolume	.text	0088C480	00000109	0000000C	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_SetGoalVolumeAuto	.text	0088C590	00000205	00001000	00000044	R	.	.	.	.	.	.	T	.	.
ActorCmd_SetLookAt	.text	0088A320	000000A0	00000014	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_SetLookAtAnimNodes	.text	0088A2C0	00000050	00000000	00000051	R	.	.	.	.	.	.	T	.	.
ActorCmd_SetLookAtYawLimits	.text	0088A3C0	0000004F	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_SetOverrideRunToPos	.text	0088C8D0	000000C5	00000010	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_SetPitchOrient	.text	0088A2A0	0000001E	00000000	00000040	R	.	.	.	.	.	.	T	.	.
ActorCmd_SetPotentialThreat	.text	0088CE10	00000050	00000008	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_SetTalkToSpecies	.text	0088D0B0	00000014	00000000	00000008	R	F	.	.	.	.	.	T	.	.
ActorCmd_ShouldFaceMotion	.text	0088B670	00000046	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_StartCoverArrival	.text	00889F00	0000001D	0000002C	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_StartScriptedAnim	.text	0088D250	0000002E	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_StopLookAt	.text	0088A410	00000030	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_Teleport	.text	0088A720	000002FA	0000150C	0000000C	R	.	.	.	.	.	.	T	.	.
ActorCmd_TraverseMode	.text	0088AEA0	0000007F	00005352	00000008	R	.	.	.	.	.	B	T	.	.
ActorCmd_TrimPathToAttack	.text	0088A1B0	00000045	00000000	00000051	R	.	.	.	.	.	.	T	.	.
ActorCmd_UseReacquireNode	.text	0088A0B0	00000058	00000020	00000008	R	.	.	.	.	.	B	T	.	.
ActorCmd_WithinApproxPathDist	.text	0088ABE0	0000004B	00001004	00000004	R	.	.	.	.	.	.	T	.	.
ActorCmd_finishActorDamage	.text	0088E770	0000015A	0000045C	00000038	R	.	.	.	.	.	.	T	.	.
ActorCorpse_Free(gentity_t *)	.text	0086DD40	00000050	00000000	00000008	R	.	.	.	.	.	.	T	.	.
ActorScr_Clamp_0_1	.text	00874130	000000F0	00000008	0000000C	R	.	.	.	.	.	.	T	.	.
ActorScr_Clamp_0_Positive	.text	00874220	000000AA	000000E8	0000000C	R	.	.	.	.	.	.	T	.	.
ActorScr_GetAlertLevel	.text	008746D0	00000024	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorScr_GetCombatMode	.text	00874810	000000C0	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorScr_GetGroundType	.text	00874900	000000CB	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorScr_GetIgnoreTriggerBit	.text	00874A20	00000040	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorScr_GetIkPriorityBit	.text	00874B60	00000044	00000004	0000000C	R	.	.	.	.	.	.	T	.	.
ActorScr_GetIsBigDog	.text	008740B0	00000076	00000004	0000000C	R	.	.	.	.	.	.	T	.	.
ActorScr_GetIsDog	.text	00874030	00000078	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorScr_GetLastEnemySightPos	.text	00874CA0	00000044	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorScr_GetLookaheadNextNodePos	.text	008751D0	00000060	00000000	00000050	R	.	.	.	.	.	.	T	.	.
ActorScr_GetMoveMode	.text	00874FC0	00000150	00000000	0000001C	R	.	.	.	.	.	.	T	.	.
ActorScr_GetPathGoalPos	.text	00874D70	00000010	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorScr_GetPushableBit	.text	00874AC0	00000010	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorScr_GetSpecies	.text	00873F60	00000076	00000000	0000BC4C	R	.	.	.	.	.	.	T	.	.
ActorScr_GetSqrt	.text	00874370	00000074	0000096C	0000000C	R	.	.	.	.	.	.	T	.	.
ActorScr_GetStairsState	.text	00873FE0	00000010	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorScr_GetTime	.text	008745F0	0000007F	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorScr_ReadOnly	.text	008743F0	00000076	0001194C	0000000C	R	.	.	.	.	.	.	T	.	.
ActorScr_SetFixedNode	.text	00874F10	000000A6	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorScr_SetGoalHeight	.text	008744E0	0000004B	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorScr_SetGoalRadius	.text	00874470	0000007B	00000000	0000000D	R	.	.	.	.	.	.	T	.	.
ActorScr_SetIgnoreTriggerBit	.text	008749D0	00000050	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorScr_SetIkPriorityBit	.text	00874B10	00000050	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorScr_SetLastEnemySightPos	.text	00874BB0	000000D0	00000000	000083FF	R	F	.	.	.	.	.	T	.	.
ActorScr_SetPathRandomPercent	.text	00875110	000000B2	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorScr_SetPushableBit	.text	00874A70	00000050	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorScr_SetSpecies	.text	00873EB0	000000A6	00000000	0000BC4C	R	.	.	.	.	.	.	T	.	.
ActorScr_SetSqr	.text	008742D0	00000099	00000008	00000018	R	.	.	.	.	.	.	T	.	.
ActorScr_SetTime	.text	00874530	000000BE	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
ActorUpdatePos	.text	0042A8F0	000000A0	00000008	0000004C	R	.	.	.	.	.	.	T	.	.
Actor_AddStationaryMoveHistory(actor_t *)	.text	008606C0	000000AD	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
Actor_AddToList	.text	00892D20	00000068	00000000	00000021	R	.	.	.	.	.	.	T	.	.
Actor_AllSecondaryTargetsForward(actor_t const *)	.text	0085D140	00000104	00000000	00000041	R	.	.	.	.	.	.	T	.	.
Actor_Alloc(void)	.text	00860B70	00000190	00000020	00000008	R	.	.	.	.	.	.	T	.	.
Actor_AnimCombat(actor_t *)	.text	0086BB50	000000BF	00000000	00000054	R	.	.	.	.	.	.	T	.	.
Actor_AnimDeath(actor_t *)	.text	0086BC40	0000004F	00000000	00000070	R	.	.	.	.	.	.	T	.	.
Actor_AnimMoveAway	.text	0086B770	00000086	00000000	000000ED	R	.	.	.	.	.	.	T	.	.
Actor_AnimPain(actor_t *)	.text	0086BC10	00000027	00000000	00000038	R	.	.	.	.	.	.	T	.	.
Actor_AnimScripted(actor_t *)	.text	0086BD10	00000028	00000000	000000A8	R	.	.	.	.	.	.	T	.	.
Actor_AnimSetCompleteGoalWeight(actor_t *,DObj *,XAnimTree_s *,uint,float,float,float,uint,uint,int)	.text	0086BD40	00000005	00000000	00000024	R	.	.	.	.	.	.	T	.	.
Actor_AnimSpecific(actor_t *,scr_animscript_t *,ai_animmode_t,bool)	.text	0086BC90	00000076	00000000	000000B4	R	.	.	.	.	.	.	T	.	.
Actor_AnimStop(actor_t *,scr_animscript_t *)	.text	0086B800	000000C9	00000000	0000002C	R	.	.	.	.	.	.	T	.	.
Actor_AnimStopOrCombat(actor_t *)	.text	0086B8D0	00000070	00000000		R	.	.	.	.	.	.	T	.	.
Actor_AnimTryRun(actor_t *)	.text	0086BA50	00000100	00000090	00000004	R	.	.	.	.	.	.	T	.	.
Actor_AnimTryWalk(actor_t *)	.text	0086B950	00000100	00000000	000000C5	R	.	.	.	.	.	.	T	.	.
Actor_AtClaimNode(actor_t *)	.text	0085F1B0	00000027	00000000	0000001C	R	.	.	.	.	.	.	T	.	.
Actor_AtClaimNodeAndAngle(actor_t *)	.text	0085F1E0	000000AC	00000004	00000024	R	.	.	.	.	.	.	T	.	.
Actor_BadPlace_AttemptEscape	.text	0086D1F0	0000019F	00000C0C	000000E8	R	.	.	.	.	.	.	T	.	.
Actor_BadPlace_FindSafeNodeAlongPath	.text	0086CC60	00000004	00000000	00000008	R	.	.	.	.	.	.	T	.	.
Actor_BadPlace_FindSafeNodeOutsideBadPlace	.text	0086CF70	00000280	00000C1C	00001128	R	.	.	.	.	.	.	T	.	.
Actor_BadPlace_Flee_Start(actor_t *,ai_state_t)	.text	0086D390	00000040	00000000		R	.	.	.	.	.	.	T	.	.
Actor_BadPlace_Flee_Think(actor_t *)	.text	0086D3D0	00000135	00000000	000000E8	R	.	.	.	.	.	.	T	.	.
Actor_BadPlace_GetMaximumFleeRadius	.text	0086C930	000000A0	00000004	0000012D	R	.	.	.	.	.	.	T	.	.
Actor_BadPlace_HasPotentialNodeDuplicates	.text	0086C9D0	00000076	00000000	00000CF3	R	.	.	.	.	.	B	T	.	.
Actor_BadPlace_IsNodeInAnyBadPlace	.text	0086CB40	0000011E	00000000	00001128	R	.	.	.	.	.	.	T	.	.
Actor_BadPlace_IsPointInAnyBadPlace(vec3_t &)	.text	0086CA50	000000EC	00000000	0000114C	R	.	.	.	.	.	.	T	.	.
Actor_BadPlace_UpdateFleeingActors	.text	0086C7E0	0000014C	00000000	00000105	R	.	.	.	.	.	.	.	.	.
Actor_BadPlacesChanged(void)	.text	00866980	00000060	00000058		R	.	.	.	.	.	.	T	.	.
Actor_BeginTrimPath(actor_t *)	.text	0085F6E0	0000003C	00000000		R	.	.	.	.	.	.	T	.	.
Actor_BigDog_Exposed_Start(actor_t *,ai_state_t)	.text	0086D510	00000067	00000000	00001128	R	.	.	.	.	.	.	T	.	.
Actor_BigDog_Exposed_Think(actor_t *)	.text	0086D620	0000022D	00000070	0000004C	R	.	.	.	.	.	.	T	.	.
Actor_BroadcastLineEvent(gentity_t *,gentity_t *,ai_event_t,int,vec3_t const &,vec3_t const &,float)	.text	00872090	0000007B	00000030	00000018	R	.	.	.	.	.	.	T	.	.
Actor_BroadcastPointEvent(gentity_t *,ai_event_t,int,vec3_t const &,float)	.text	00871E70	00000180	00000000	00000034	R	.	.	.	.	.	.	T	.	.
Actor_BroadcastTeamEvent(sentient_t *,ai_event_t)	.text	00872510	0000007D	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
Actor_CalcultatePlayerPushDelta	.text	0085D790	000001F0	00000000	00000008	R	.	.	.	.	.	.	T	.	.
Actor_CallThink	.text	00862340	0000039D	00000090	00000040	R	.	.	.	.	.	.	T	.	.
Actor_CanBePathedTo	.text	00895850	00000159	0000044C	00000150	R	.	.	.	.	.	.	T	.	.
Actor_CanSeeEnemy(actor_t *)	.text	00890AA0	00000147	00000000		R	.	.	.	.	.	.	T	.	.
Actor_CanSeeEnemyExtended(actor_t *)	.text	00890BF0	0000016D	00000004	00000004	R	.	.	.	.	.	.	T	.	.
Actor_CanSeeEntity(actor_t *,gentity_t const *)	.text	008908D0	00000050	00000000		R	.	.	.	.	.	.	T	.	.
Actor_CanSeeEntityEx(actor_t *,gentity_t const *,float,float)	.text	00890110	00000413	00000028	00000015	R	.	.	.	.	.	.	T	.	.
Actor_CanSeePointEx(actor_t *,vec3_t const &,float,float,int)	.text	0088FFC0	00000149	00000010	00000010	R	.	.	.	.	.	.	T	.	.
Actor_CanSeePointExInternal	.text	0088FE30	00000190	00000000	00000014	R	.	.	.	.	.	.	T	.	.
Actor_CanSeePointFrom(actor_t *,vec3_t const &,vec3_t const &,float,int)	.text	0088EE80	00000128	00000004	00000010	R	.	.	.	.	.	.	T	.	.
Actor_CanShootEnemy(actor_t *,int)	.text	008906E0	000001F0	0000001C	00000004	R	.	.	.	.	.	.	T	.	.
Actor_CanShootFrom(actor_t *,vec3_t const &,vec3_t const &)	.text	00890530	000001A4	0000007C	0000000C	R	.	.	.	.	.	.	T	.	.
Actor_CaresAboutInfo(actor_t *,sentient_t *)	.text	00894D50	0000006E	00000000	000003B0	R	.	.	.	.	.	.	T	.	.
Actor_ChangeAngles(actor_t *,float,float)	.text	00884FC0	00000170	0000000C	00000064	R	.	.	.	.	.	.	T	.	.
Actor_CheckClearNodeClaimCloseEnt	.text	00861970	000000EA	00000000	00000050	R	.	.	.	.	.	.	T	.	.
Actor_CheckCollisions(actor_t *)	.text	0085F460	000001E1	00000010	000000D2	R	.	.	.	.	.	.	T	.	.
Actor_CheckGoalNotify	.text	00867450	000000AF	00000004	00000030	R	.	.	.	.	.	.	T	.	.
Actor_CheckGunBlockedByWallWhileMoving	.text	00885680	00000190	00000060	00000028	R	.	.	.	.	.	.	T	.	.
Actor_CheckIgnore(sentient_t *,sentient_t *)	.text	00896E70	00000044	00000000		R	.	.	.	.	.	.	T	.	.
Actor_CheckNodeClaim(actor_t *)	.text	00861BB0	000000E0	00000000	0000004C	R	.	.	.	.	.	.	T	.	.
Actor_CheckNotify	.text	00867500	00000139	00000000	00000002	R	.	.	.	.	.	.	T	.	.
Actor_CheckStop	.text	00869490	000002BA	0000006A	0000C06B	R	.	.	.	.	.	.	T	.	.
Actor_CheckSurprisedBySentient(actor_t *,sentient_t *)	.text	00890D60	00000240	00000044		R	.	.	.	.	.	.	T	.	.
