Offset-Description                                     
0000 - 4 Bytes           21C5828 : 22                  
013C - Float             21C5964 : -40.41033173        
0140 - 4 Bytes           21C5968 : 0                   
0144 - zombie pathfinding direction21C596C : 229.4350433         
0148 - 4 Bytes           21C5970 : 0                   
014C - 4 Bytes           21C5974 : 0                   
0150 - 4 Bytes           21C5978 : 0                   
0154 - 4 Bytes           21C597C : 0                   
0158 - probably useful 1 21C5980 : P->023A5710         
015C - probably useful 2 21C5984 : P->023303E4         
0160 - 4 Bytes           21C5988 : 0                   
0164 - 4 Bytes           21C598C : 0                   
0168 - 4 Bytes           21C5990 : 0                   
016C - Pointer           21C5994 : P->01000084         
0170 - Pointer           21C5998 : P->00020000         
0174 - Pointer           21C599C : P->14EA0061         
0178 - Pointer           21C59A0 : P->12DC0000         
017C - 4 Bytes           21C59A4 : 0                   
0180 - 4 Bytes           21C59A8 : 1                   
0184 - 4 Bytes           21C59AC : 2                   
0188 - Pointer           21C59B0 : P->00041000         
018C - 4 Bytes           21C59B4 : 0                   
0190 - 4 Bytes           21C59B8 : 0                   
0194 - 4 Bytes           21C59BC : 0                   
0198 - Pointer           21C59C0 : P->02820011         
019C - 4 Bytes           21C59C4 : 8526                
01A0 - 4 Bytes           21C59C8 : 0                   
01A4 - Pointer           21C59CC : P->0006816E         
01A8 - curr health       21C59D0 : 88768               
01AC - start health      21C59D4 : 350                 
01B0 - 4 Bytes           21C59D8 : 0                   
01B4 - 4 Bytes           21C59DC : 0                   
01B8 - 4 Bytes           21C59E0 : 0                   
01BC - 4 Bytes           21C59E4 : 0                   
01C0 - 4 Bytes           21C59E8 : 0                   
01C4 - 4 Bytes           21C59EC : 0                   
01C8 - 4 Bytes           21C59F0 : 0                   
01CC - 4 Bytes           21C59F4 : 0                   
01D0 - 4 Bytes           21C59F8 : 0                   
01D4 - 4 Bytes           21C59FC : 0                   
01D8 - 4 Bytes           21C5A00 : 0                   
01DC - 4 Bytes           21C5A04 : 0                   
01E0 - 4 Bytes           21C5A08 : 0                   
01E4 - 4 Bytes           21C5A0C : 0                   
01E8 - 4 Bytes           21C5A10 : 0                   
01EC - 4 Bytes           21C5A14 : 0                   
01F0 - 4 Bytes           21C5A18 : 0                   
01F4 - 4 Bytes           21C5A1C : 0                   
01F8 - 4 Bytes           21C5A20 : 0                   
01FC - 4 Bytes           21C5A24 : 0                   
0200 - 4 Bytes           21C5A28 : 0                   
0204 - 4 Bytes           21C5A2C : 0                   
0208 - 4 Bytes           21C5A30 : 0                   
020C - 4 Bytes           21C5A34 : 0                   
0210 - 4 Bytes           21C5A38 : 0                   
0214 - 4 Bytes           21C5A3C : 0                   
0218 - 4 Bytes           21C5A40 : 0                   
021C - 4 Bytes           21C5A44 : 0                   
0220 - 4 Bytes           21C5A48 : 0                   
0224 - 4 Bytes           21C5A4C : 0                   
0228 - 4 Bytes           21C5A50 : 666                 
022C - 4 Bytes           21C5A54 : 0                   
0230 - 4 Bytes           21C5A58 : 0                   
0234 - 4 Bytes           21C5A5C : 0                   
0238 - 4 Bytes           21C5A60 : 0                   
023C - 4 Bytes           21C5A64 : 0                   
0240 - 4 Bytes           21C5A68 : 0                   
0244 - 4 Bytes           21C5A6C : 0                   
0248 - 4 Bytes           21C5A70 : 0                   
024C - 4 Bytes           21C5A74 : 0                   
0250 - 4 Bytes           21C5A78 : 0                   
0254 - 4 Bytes           21C5A7C : 0                   
0258 - 4 Bytes           21C5A80 : 0                   
025C - 4 Bytes           21C5A84 : 0                   
0260 - 4 Bytes           21C5A88 : 0                   
0264 - 4 Bytes           21C5A8C : 0                   
0268 - 4 Bytes           21C5A90 : 0                   
026C - 4 Bytes           21C5A94 : 0                   
0270 - 4 Bytes           21C5A98 : 0                   
0274 - 4 Bytes           21C5A9C : 0                   
0278 - 4 Bytes           21C5AA0 : 0                   
027C - 4 Bytes           21C5AA4 : 0                   
0280 - 4 Bytes           21C5AA8 : 0                   
0284 - 4 Bytes           21C5AAC : 0                   
0288 - 4 Bytes           21C5AB0 : 0                   
028C - 4 Bytes           21C5AB4 : 0                   
0290 - 4 Bytes           21C5AB8 : 9941                
0294 - Pointer           21C5ABC : P->093285E6         
0298 - 4 Bytes           21C5AC0 : 1                   
029C - Pointer           21C5AC4 : P->0006810A         
02A0 - 4 Bytes           21C5AC8 : 1601                
02A4 - 4 Bytes           21C5ACC : 0                   
02A8 - 4 Bytes           21C5AD0 : 0                   
02AC - 4 Bytes           21C5AD4 : 119                 
02B0 - 4 Bytes           21C5AD8 : 0                   
02B4 - 4 Bytes           21C5ADC : 0                   
02B8 - 4 Bytes           21C5AE0 : 0                   
02BC - 4 Bytes           21C5AE4 : 0                   
02C0 - 4 Bytes           21C5AE8 : 0                   
02C4 - 4 Bytes           21C5AEC : 0                   
02C8 - 4 Bytes           21C5AF0 : 0                   
02CC - 4 Bytes           21C5AF4 : 0                   
02D0 - 4 Bytes (Hex)     21C5AF8 : 00140000            
02D4 - 4 Bytes           21C5AFC : 0                   
02D8 - 4 Bytes           21C5B00 : 0                   
02DC - 4 Bytes           21C5B04 : 0                   
02E0 - 4 Bytes           21C5B08 : 0                   
02E4 - 4 Bytes           21C5B0C : 0                   
02E8 - 4 Bytes           21C5B10 : 0                   
02EC - 4 Bytes           21C5B14 : 0                   
02F0 - 4 Bytes           21C5B18 : 0                   
02F4 - 4 Bytes           21C5B1C : 0                   
02F8 - Pointer           21C5B20 : P->02C734A0         
02FC - 4 Bytes           21C5B24 : 0                   
0300 - 4 Bytes           21C5B28 : 0                   
0304 - 4 Bytes           21C5B2C : 2                   
0308 - 4 Bytes           21C5B30 : 0                   
030C - 4 Bytes           21C5B34 : 0                   
0310 - 4 Bytes           21C5B38 : 0                   
0314 - 4 Bytes           21C5B3C : 0                   
0318 - 4 Bytes           21C5B40 : 0                   
031C - 4 Bytes           21C5B44 : 0                   
0320 - Pointer           21C5B48 : P->00000000         
0324 - 4 Bytes           21C5B4C : 0                   
0328 - 4 Bytes           21C5B50 : 0                   
032C - 4 Bytes           21C5B54 : 0                   
0330 - 4 Bytes           21C5B58 : 0                   
0334 - Float             21C5B5C : 0                   
0338 - Pointer           21C5B60 : P->00000000         
033C - Float             21C5B64 : 0                   
0340 - 4 Bytes           21C5B68 : 0                   
0344 - 4 Bytes           21C5B6C : 0                   
0348 - 4 Bytes           21C5B70 : 0                   
034C - 4 Bytes           21C5B74 : 0                   
0350 - 4 Bytes           21C5B78 : 0                   
0354 - 4 Bytes           21C5B7C : 0                   
0358 - 4 Bytes           21C5B80 : 0                   
035C - Pointer           21C5B84 : P->00000000         
0360 - 4 Bytes           21C5B88 : 0                   
0364 - 4 Bytes           21C5B8C : 0                   
0368 - 4 Bytes           21C5B90 : 0                   
036C - 4 Bytes           21C5B94 : 0                   
0370 - 4 Bytes           21C5B98 : 0                   
0374 - 4 Bytes           21C5B9C : 0                   
0378 - 4 Bytes           21C5BA0 : 0                   
037C - 4 Bytes           21C5BA4 : 0                   
0380 - 4 Bytes           21C5BA8 : 0                   
0384 - Pointer           21C5BAC : P->00000000         
0388 - 4 Bytes           21C5BB0 : 0                   
038C - 4 Bytes           21C5BB4 : 0                   
0390 - 4 Bytes           21C5BB8 : 0                   
0394 - Pointer           21C5BBC : P->00000000         
0398 - 4 Bytes           21C5BC0 : 0                   
039C - 4 Bytes           21C5BC4 : 0                   
03A0 - 4 Bytes           21C5BC8 : 0                   
03A4 - Pointer           21C5BCC : P->00000000         
03A8 - 4 Bytes           21C5BD0 : 0                   
03AC - 4 Bytes           21C5BD4 : 0                   
03B0 - 4 Bytes           21C5BD8 : 0                   
03B4 - 4 Bytes           21C5BDC : 0                   
03B8 - 4 Bytes           21C5BE0 : 0                   
03BC - 4 Bytes           21C5BE4 : 0                   
03C0 - 4 Bytes           21C5BE8 : 0                   
03C4 - 4 Bytes           21C5BEC : 0                   
03C8 - 4 Bytes           21C5BF0 : 0                   
03CC - 4 Bytes           21C5BF4 : 0                   
03D0 - 4 Bytes           21C5BF8 : 0                   
03D4 - 4 Bytes           21C5BFC : 0                   
03D8 - 4 Bytes           21C5C00 : 0                   
03DC - 4 Bytes           21C5C04 : 0                   
03E0 - 4 Bytes           21C5C08 : 0                   
03E4 - 4 Bytes           21C5C0C : 0                   
03E8 - 4 Bytes           21C5C10 : 0                   
03EC - 4 Bytes           21C5C14 : 0                   
03F0 - 4 Bytes           21C5C18 : 0                   
03F4 - Pointer           21C5C1C : P->00000000         
03F8 - 4 Bytes           21C5C20 : 0                   
03FC - 4 Bytes           21C5C24 : 0                   
0400 - 4 Bytes           21C5C28 : 0                   
0404 - 4 Bytes           21C5C2C : 0                   
0408 - 4 Bytes           21C5C30 : 0                   
040C - 4 Bytes           21C5C34 : 0                   
0410 - 4 Bytes           21C5C38 : 0                   
0414 - Pointer           21C5C3C : P->00000000         
0418 - 4 Bytes           21C5C40 : 0                   
041C - Float             21C5C44 : 0                   
0420 - Float             21C5C48 : 0                   
0424 - 4 Bytes           21C5C4C : 0                   
0428 - Float             21C5C50 : 0                   
042C - Float             21C5C54 : 0                   
0430 - Float             21C5C58 : 0                   
0434 - 4 Bytes (Hex)     21C5C5C : 00000000            
0438 - Float             21C5C60 : 0                   
043C - Pointer           21C5C64 : P->00000000         
0440 - Float             21C5C68 : 0                   
0444 - Float             21C5C6C : 0                   
0448 - Float             21C5C70 : 0                   
044C - Pointer           21C5C74 : P->00000000         
0450 - Float             21C5C78 : 0                   
0454 - Pointer           21C5C7C : P->00000000         
0458 - Float             21C5C80 : 0                   
045C - 4 Bytes           21C5C84 : 0                   
0460 - Pointer           21C5C88 : P->00000000         
0464 - 4 Bytes           21C5C8C : 0                   
0468 - 4 Bytes           21C5C90 : 0                   
046C - 4 Bytes           21C5C94 : 0                   
0470 - 4 Bytes           21C5C98 : 0                   
0474 - Pointer           21C5C9C : P->00000000         
0478 - Pointer           21C5CA0 : P->00000000         
047C - 4 Bytes           21C5CA4 : 0                   
0480 - 4 Bytes           21C5CA8 : 0                   
0484 - 4 Bytes           21C5CAC : 0                   
0488 - Pointer           21C5CB0 : P->00000000         
048C - Pointer           21C5CB4 : P->00000000         
0490 - Pointer           21C5CB8 : P->00000000         
0494 - Pointer           21C5CBC : P->00000000         
0498 - 4 Bytes           21C5CC0 : 0                   
049C - 4 Bytes           21C5CC4 : 0                   
04A0 - 4 Bytes           21C5CC8 : 0                   
04A4 - Pointer           21C5CCC : P->00000000         
04A8 - 4 Bytes           21C5CD0 : 384400              
04AC - 4 Bytes           21C5CD4 : 0                   
04B0 - 4 Bytes           21C5CD8 : 0                   
04B4 - Pointer           21C5CDC : P->00000000         
04B8 - 4 Bytes           21C5CE0 : 0                   
04BC - 4 Bytes           21C5CE4 : 0                   
04C0 - Pointer           21C5CE8 : P->00000000         
04C4 - 4 Bytes           21C5CEC : 0                   
04C8 - 4 Bytes           21C5CF0 : 0                   
04CC - 4 Bytes           21C5CF4 : 0                   
04D0 - 4 Bytes           21C5CF8 : 0                   
04D4 - 4 Bytes           21C5CFC : 0                   
04D8 - 4 Bytes           21C5D00 : 0                   
04DC - 4 Bytes           21C5D04 : 0                   
04E0 - 4 Bytes           21C5D08 : 0                   
04E4 - 4 Bytes           21C5D0C : 0                   
04E8 - 4 Bytes           21C5D10 : 0                   
04EC - 4 Bytes           21C5D14 : 0                   
04F0 - 4 Bytes           21C5D18 : 0                   
04F4 - 4 Bytes           21C5D1C : 0                   
04F8 - 4 Bytes           21C5D20 : 0                   
04FC - 4 Bytes           21C5D24 : 0                   
0500 - 4 Bytes           21C5D28 : 0                   
0504 - 4 Bytes           21C5D2C : 0                   
0508 - 4 Bytes           21C5D30 : 0                   
050C - 4 Bytes           21C5D34 : 0                   
0510 - 4 Bytes           21C5D38 : 0                   
0514 - 4 Bytes           21C5D3C : 0                   
0518 - 4 Bytes           21C5D40 : 0                   
051C - 4 Bytes           21C5D44 : 0                   
0520 - 4 Bytes           21C5D48 : 0                   
0524 - 4 Bytes           21C5D4C : 0                   
0528 - 4 Bytes           21C5D50 : 0                   
052C - 4 Bytes           21C5D54 : 0                   
0530 - 4 Bytes           21C5D58 : 0                   
0534 - 4 Bytes           21C5D5C : 0                   
0538 - 4 Bytes           21C5D60 : 0                   
053C - 4 Bytes           21C5D64 : 0                   
0540 - 4 Bytes           21C5D68 : 0                   
0544 - 4 Bytes           21C5D6C : 0                   
0548 - 4 Bytes           21C5D70 : 0                   
054C - 4 Bytes           21C5D74 : 0                   
0550 - 4 Bytes           21C5D78 : 0                   
0554 - 4 Bytes           21C5D7C : 0                   
0558 - 4 Bytes           21C5D80 : 0                   
055C - 4 Bytes           21C5D84 : 0                   
0560 - 4 Bytes           21C5D88 : 0                   
0564 - 4 Bytes           21C5D8C : 0                   
0568 - 4 Bytes           21C5D90 : 0                   
056C - 4 Bytes           21C5D94 : 0                   
0570 - 4 Bytes           21C5D98 : 0                   
0574 - 4 Bytes           21C5D9C : 0                   
0578 - 4 Bytes           21C5DA0 : 0                   
057C - 4 Bytes           21C5DA4 : 0                   
0580 - 4 Bytes           21C5DA8 : 0                   
0584 - 4 Bytes           21C5DAC : 0                   
0588 - 4 Bytes           21C5DB0 : 0                   
058C - 4 Bytes           21C5DB4 : 0                   
0590 - 4 Bytes           21C5DB8 : 0                   
0594 - 4 Bytes           21C5DBC : 0                   
0598 - 4 Bytes           21C5DC0 : 0                   
059C - 4 Bytes           21C5DC4 : 0                   
05A0 - 4 Bytes           21C5DC8 : 0                   
05A4 - 4 Bytes           21C5DCC : 0                   
05A8 - 4 Bytes           21C5DD0 : 0                   
05AC - 4 Bytes           21C5DD4 : 0                   
05B0 - Float             21C5DD8 : 0                   
05B4 - 4 Bytes           21C5DDC : 0                   
05B8 - Pointer           21C5DE0 : P->00000000         
05BC - 4 Bytes           21C5DE4 : 0                   
05C0 - 4 Bytes           21C5DE8 : 0                   
05C4 - 4 Bytes           21C5DEC : 0                   
05C8 - 4 Bytes           21C5DF0 : 0                   
05CC - 4 Bytes           21C5DF4 : 0                   
05D0 - 4 Bytes           21C5DF8 : 0                   
05D4 - 4 Bytes           21C5DFC : 0                   
05D8 - 4 Bytes           21C5E00 : 0                   
05DC - 4 Bytes           21C5E04 : 0                   
05E0 - 4 Bytes           21C5E08 : 0                   
05E4 - 4 Bytes           21C5E0C : 0                   
05E8 - 4 Bytes           21C5E10 : 0                   
05EC - 4 Bytes (Hex)     21C5E14 : 00000000            
05F0 - 4 Bytes           21C5E18 : 0                   
05F4 - 4 Bytes           21C5E1C : 0                   
05F8 - 4 Bytes           21C5E20 : 0                   
05FC - 4 Bytes           21C5E24 : 0                   
0600 - 4 Bytes           21C5E28 : 0                   
0604 - 4 Bytes           21C5E2C : 0                   
0608 - 4 Bytes           21C5E30 : 0                   
060C - 4 Bytes           21C5E34 : 0                   
0610 - 4 Bytes           21C5E38 : 0                   
0614 - Pointer           21C5E3C : P->00000000         
0618 - 4 Bytes           21C5E40 : 0                   
061C - 4 Bytes           21C5E44 : 0                   
0620 - 4 Bytes           21C5E48 : 4                   
0624 - 4 Bytes           21C5E4C : 0                   
0628 - 4 Bytes           21C5E50 : 0                   
062C - 4 Bytes           21C5E54 : 0                   
0630 - 4 Bytes           21C5E58 : 0                   
0634 - 4 Bytes           21C5E5C : 0                   
0638 - 4 Bytes           21C5E60 : 0                   
063C - Pointer           21C5E64 : P->00000000         
0640 - 4 Bytes           21C5E68 : 0                   
0644 - 4 Bytes           21C5E6C : 0                   
0648 - 4 Bytes           21C5E70 : 0                   
064C - 4 Bytes           21C5E74 : 0                   
0650 - Float             21C5E78 : 0                   
0654 - Pointer           21C5E7C : P->00000000         
0658 - Float             21C5E80 : 0                   
065C - 4 Bytes           21C5E84 : 0                   
0660 - 4 Bytes           21C5E88 : 0                   
0664 - 4 Bytes           21C5E8C : 0                   
0668 - 4 Bytes           21C5E90 : 0                   
066C - 4 Bytes           21C5E94 : 0                   
0670 - 4 Bytes           21C5E98 : 0                   
0674 - 4 Bytes           21C5E9C : 0                   
0678 - Pointer           21C5EA0 : P->00000000         
067C - 4 Bytes           21C5EA4 : 0                   
0680 - 4 Bytes           21C5EA8 : 0                   
0684 - 4 Bytes           21C5EAC : 0                   
0688 - 4 Bytes           21C5EB0 : 0                   
068C - 4 Bytes           21C5EB4 : 0                   
0690 - 4 Bytes           21C5EB8 : 0                   
0694 - 4 Bytes           21C5EBC : 0                   
0698 - 4 Bytes           21C5EC0 : 0                   
069C - 4 Bytes           21C5EC4 : 0                   
06A0 - Pointer           21C5EC8 : P->00000000         
06A4 - 4 Bytes           21C5ECC : 0                   
06A8 - 4 Bytes           21C5ED0 : 0                   
06AC - 4 Bytes           21C5ED4 : 0                   
06B0 - Pointer           21C5ED8 : P->00000000         
06B4 - 4 Bytes           21C5EDC : 0                   
06B8 - 4 Bytes           21C5EE0 : 0                   
06BC - 4 Bytes           21C5EE4 : 0                   
06C0 - Pointer           21C5EE8 : P->00000000         
06C4 - 4 Bytes           21C5EEC : 0                   
06C8 - Pointer           21C5EF0 : P->00000000         
06CC - 4 Bytes           21C5EF4 : 0                   
06D0 - 4 Bytes           21C5EF8 : 0                   
06D4 - 4 Bytes           21C5EFC : 0                   
06D8 - 4 Bytes           21C5F00 : 0                   
06DC - 4 Bytes           21C5F04 : 0                   
06E0 - 4 Bytes           21C5F08 : 0                   
06E4 - 4 Bytes           21C5F0C : 0                   
06E8 - 4 Bytes           21C5F10 : 0                   
06EC - 4 Bytes           21C5F14 : 0                   
06F0 - 4 Bytes           21C5F18 : 0                   
06F4 - 4 Bytes           21C5F1C : 0                   
06F8 - 4 Bytes           21C5F20 : 0                   
06FC - 4 Bytes           21C5F24 : 0                   
0700 - 4 Bytes           21C5F28 : 0                   
0704 - 4 Bytes           21C5F2C : 0                   
0708 - 4 Bytes           21C5F30 : 0                   
070C - 4 Bytes           21C5F34 : 0                   
0710 - Pointer           21C5F38 : P->00000000         
0714 - 4 Bytes           21C5F3C : 0                   
0718 - 4 Bytes           21C5F40 : 0                   
071C - 4 Bytes           21C5F44 : 0                   
0720 - 4 Bytes           21C5F48 : 0                   
0724 - 4 Bytes           21C5F4C : 0                   
0728 - 4 Bytes           21C5F50 : 0                   
072C - 4 Bytes           21C5F54 : 0                   
0730 - Pointer           21C5F58 : P->00000000         
0734 - 4 Bytes           21C5F5C : 0                   
0738 - Float             21C5F60 : 0                   
073C - Float             21C5F64 : 0                   
0740 - 4 Bytes           21C5F68 : 0                   
0744 - Float             21C5F6C : 0                   
0748 - Float             21C5F70 : 0                   
074C - Float             21C5F74 : 0                   
0750 - 4 Bytes (Hex)     21C5F78 : 00000000            
0754 - Float             21C5F7C : 0                   
0758 - Pointer           21C5F80 : P->00000000         
075C - Float             21C5F84 : 0                   
0760 - Float             21C5F88 : 0                   
0764 - Pointer           21C5F8C : P->00000000         
0768 - Pointer           21C5F90 : P->00000000         
076C - Float             21C5F94 : 0                   
0770 - Pointer           21C5F98 : P->00000000         
0774 - Float             21C5F9C : 0                   
0778 - 4 Bytes           21C5FA0 : 0                   
077C - Pointer           21C5FA4 : P->00000000         
0780 - 4 Bytes           21C5FA8 : 0                   
0784 - 4 Bytes           21C5FAC : 0                   
0788 - 4 Bytes           21C5FB0 : 0                   
078C - 4 Bytes           21C5FB4 : 0                   
0790 - Pointer           21C5FB8 : P->00000000         
0794 - Pointer           21C5FBC : P->00000000         
0798 - 4 Bytes           21C5FC0 : 0                   
079C - 4 Bytes           21C5FC4 : 0                   
07A0 - 4 Bytes           21C5FC8 : 0                   
07A4 - Pointer           21C5FCC : P->00000000         
07A8 - Pointer           21C5FD0 : P->00000000         
07AC - Pointer           21C5FD4 : P->00000000         
07B0 - Pointer           21C5FD8 : P->00000000         
07B4 - 4 Bytes           21C5FDC : 0                   
07B8 - 4 Bytes           21C5FE0 : 0                   
07BC - 4 Bytes           21C5FE4 : 0                   
07C0 - Pointer           21C5FE8 : P->00000000         
07C4 - 4 Bytes           21C5FEC : 366950              
07C8 - 4 Bytes           21C5FF0 : 0                   
07CC - 4 Bytes           21C5FF4 : 0                   
07D0 - Pointer           21C5FF8 : P->00000000         
07D4 - 4 Bytes           21C5FFC : 0                   
07D8 - 4 Bytes           21C6000 : 0                   
07DC - Pointer           21C6004 : P->00000000         
07E0 - 4 Bytes           21C6008 : 0                   
07E4 - 4 Bytes           21C600C : 0                   
07E8 - 4 Bytes           21C6010 : 0                   
07EC - 4 Bytes           21C6014 : 0                   
07F0 - 4 Bytes           21C6018 : 0                   
07F4 - 4 Bytes           21C601C : 0                   
07F8 - 4 Bytes           21C6020 : 0                   
07FC - 4 Bytes           21C6024 : 0                   
0800 - 4 Bytes           21C6028 : 0                   
0804 - 4 Bytes           21C602C : 0                   
0808 - 4 Bytes           21C6030 : 0                   
080C - 4 Bytes           21C6034 : 0                   
0810 - 4 Bytes           21C6038 : 0                   
0814 - 4 Bytes           21C603C : 0                   
0818 - 4 Bytes           21C6040 : 0                   
081C - 4 Bytes           21C6044 : 0                   
0820 - 4 Bytes           21C6048 : 0                   
0824 - 4 Bytes           21C604C : 0                   
0828 - 4 Bytes           21C6050 : 0                   
082C - 4 Bytes           21C6054 : 0                   
0830 - 4 Bytes           21C6058 : 0                   
0834 - 4 Bytes           21C605C : 0                   
0838 - 4 Bytes           21C6060 : 0                   
083C - 4 Bytes           21C6064 : 0                   
0840 - 4 Bytes           21C6068 : 0                   
0844 - 4 Bytes           21C606C : 0                   
0848 - 4 Bytes           21C6070 : 0                   
084C - 4 Bytes           21C6074 : 0                   
0850 - 4 Bytes           21C6078 : 0                   
0854 - 4 Bytes           21C607C : 0                   
0858 - 4 Bytes           21C6080 : 0                   
085C - 4 Bytes           21C6084 : 0                   
0860 - 4 Bytes           21C6088 : 0                   
0864 - 4 Bytes           21C608C : 0                   
0868 - 4 Bytes           21C6090 : 0                   
086C - 4 Bytes           21C6094 : 0                   
0870 - 4 Bytes           21C6098 : 0                   
0874 - 4 Bytes           21C609C : 0                   
0878 - 4 Bytes           21C60A0 : 0                   
087C - 4 Bytes           21C60A4 : 0                   
0880 - 4 Bytes           21C60A8 : 0                   
0884 - 4 Bytes           21C60AC : 0                   
0888 - 4 Bytes           21C60B0 : 0                   
088C - 4 Bytes           21C60B4 : 0                   
0890 - 4 Bytes           21C60B8 : 0                   
0894 - 4 Bytes           21C60BC : 0                   
0898 - 4 Bytes           21C60C0 : 0                   
089C - 4 Bytes           21C60C4 : 0                   
08A0 - 4 Bytes           21C60C8 : 0                   
08A4 - 4 Bytes           21C60CC : 0                   
08A8 - 4 Bytes           21C60D0 : 0                   
08AC - 4 Bytes           21C60D4 : 0                   
08B0 - 4 Bytes           21C60D8 : 0                   
08B4 - 4 Bytes           21C60DC : 0                   
08B8 - 4 Bytes           21C60E0 : 0                   
08BC - 4 Bytes           21C60E4 : 0                   
08C0 - 4 Bytes           21C60E8 : 0                   
08C4 - 4 Bytes           21C60EC : 0                   
08C8 - 4 Bytes           21C60F0 : 0                   
08CC - Float             21C60F4 : 0                   
08D0 - 4 Bytes           21C60F8 : 0                   
08D4 - Pointer           21C60FC : P->00000000         
08D8 - 4 Bytes           21C6100 : 0                   
08DC - 4 Bytes           21C6104 : 0                   
08E0 - 4 Bytes           21C6108 : 0                   
08E4 - 4 Bytes           21C610C : 0                   
08E8 - 4 Bytes           21C6110 : 0                   
08EC - 4 Bytes           21C6114 : 0                   
08F0 - 4 Bytes           21C6118 : 0                   
08F4 - 4 Bytes           21C611C : 0                   
08F8 - 4 Bytes           21C6120 : 0                   
08FC - 4 Bytes           21C6124 : 0                   
0900 - 4 Bytes           21C6128 : 0                   
0904 - 4 Bytes           21C612C : 0                   
0908 - 4 Bytes (Hex)     21C6130 : 00000000            
090C - 4 Bytes           21C6134 : 0                   
0910 - 4 Bytes           21C6138 : 0                   
0914 - 4 Bytes           21C613C : 0                   
0918 - 4 Bytes           21C6140 : 0                   
091C - 4 Bytes           21C6144 : 0                   
0920 - 4 Bytes           21C6148 : 0                   
0924 - 4 Bytes           21C614C : 0                   
0928 - 4 Bytes           21C6150 : 0                   
092C - 4 Bytes           21C6154 : 0                   
0930 - Pointer           21C6158 : P->00000000         
